#Enter a string, x, for testing...
##Enter a string, y, for testing...
#

# Correctness Tests for Input Strings
# Brute Force	Dynamic   	My algo
# 32767		 4		4


# Performance Data for LCS implementation
# With Generated Data
# Column Headers
# Input(N)   TimeBF(T)   TimeDP(T)   TimeOwn(T)
1      0.000003500000      0.000004250000      0.000003500000
5      0.000012500000      0.000013750000      0.000011000000
10      0.000034500000      0.000028250000      0.000022750000
15      0.000092500000      0.000046750000      0.000040250000
20      0.000230750000      0.000068750000      0.000061750000
30      0.000559500000      0.000092250000      0.000085250000
40      0.001263500000      0.000117750000      0.000110750000
60      0.003499500000      0.000147250000      0.000140250000
80      0.009682750000      0.000182250000      0.000176000000
120      0.024647750000      0.000220750000      0.000216500000
160      0.063246000000      0.000264000000      0.000261750000
240      0.175911500000      0.000313750000      0.000312500000
320      0.509094500000      0.000370000000      0.000370250000
480      1.490954500000      0.000432500000      0.000433250000
640      4.000360000000      0.000500750000      0.000502000000
960      11.433112750000      0.000574500000      0.000576500000
1280      31.271146500000      0.000653250000      0.000655500000
