#Enter a string, x, for testing...
##Enter a string, y, for testing...
#

# Correctness Tests for Input Strings
# Brute Force	Dynamic   	My algo
# 0		 4		4


# Performance Data for LCS implementation
# With Generated Data
# Column Headers
# Input(N)   TimeBF(T)   TimeDP(T)   TimeOwn(T)
1      0.000002250000      0.000003500000      0.000003500000
5      0.000007750000      0.000011000000      0.000012000000
10      0.000026750000      0.000022500000      0.000025000000
15      0.000083500000      0.000038000000      0.000042500000
20      0.000246500000      0.000057500000      0.000065000000
30      0.000667500000      0.000081000000      0.000091500000
40      0.001692500000      0.000108500000      0.000122250000
60      0.004581500000      0.000141250000      0.000158500000
80      0.012031750000      0.000180500000      0.000200750000
120      0.037607000000      0.000227250000      0.000250500000
160      0.096417000000      0.000280000000      0.000305750000
240      0.238336750000      0.000337500000      0.000366250000
320      0.558020000000      0.000399250000      0.000430750000
480      1.458017000000      0.000468000000      0.000499250000
640      3.844623500000      0.000544000000      0.000571750000
960      11.014429000000      0.000626750000      0.000648500000
1280      30.100386000000      0.000715500000      0.000730000000
1400      67.201667750000      0.000810500000      0.000816500000
1620      130.774316000000      0.000912000000      0.000908000000
1840      234.056849000000      0.001017750000      0.001003500000
1960      388.272093500000      0.001128250000      0.001105250000
