# Performance Data for all Fibonacci function variants
# Column Headers
#                    +---------------------- Time (Nanoseconds)-------------------------+
# Size(N)  Value(X)   FibRecur      FibRecurDp   FibRecurDpAlt         FibLoop      FibMatrix
     1      1            13.33           10.00           93.33            6.67           60.00
     2      2            23.33          110.00          106.67           16.67           70.00
     2      3            36.67          136.67          130.00           23.33           90.00
     3      4            63.33          153.33          153.33           26.67           83.33
     3      5           103.33          173.33          176.67           30.00          103.33
     3      6           166.67          193.33          196.67           36.67          103.33
     3      7           353.33          213.33          216.67           43.33          120.00
     4      8           440.00          230.00          236.67           46.67           96.67
     4      9           713.33          253.33          260.00           50.00          170.00
     4     10          1156.67          273.33          416.67           56.67          116.67
     4     11          2093.33          296.67          306.67           63.33          133.33
     4     12          3206.67          316.67          326.67           70.00          113.33
     4     13          5420.00          333.33          350.00           73.33          133.33
     4     14          8766.67          360.00          370.00           80.00          133.33
     4     15         12860.00          233.33          210.00           60.00           73.33
     5     16         25753.33          536.67          470.00           90.00          106.67
     5     17         36413.33          493.33          500.00           93.33          130.00
     5     18         60570.00          526.67          530.00          100.00          126.67
     5     19         89380.00          713.33          570.00          106.67          146.67
     5     20         87003.33          510.00          323.33           83.33           70.00
     5     21        253536.67          350.00          346.67           90.00           80.00
     5     22        262210.00          643.33          663.33          123.33          146.67
     5     23        454240.00          393.33          386.67          103.33           83.33
     5     24       1014643.33          710.00          733.33          133.33          126.67
     5     25       1367096.67          663.33          700.00          133.33          123.33
     5     26       2510756.67          713.33          743.33          143.33          123.33
     5     27       3772023.33          823.33          850.00          150.00          163.33
     5     28       5876050.00          486.67          493.33          126.67           76.67
     5     29       9651793.33          506.67          513.33          133.33           86.67
     5     30      17321830.00          610.00          533.33          136.67           86.67
     5     31      25917290.00          813.33         1006.67          170.00         1030.00
     6     32                ?          870.00          913.33          176.67          106.67
     6     33                ?         1066.67          960.00          180.00          116.67
     6     34                ?          900.00         1040.00          186.67          113.33
     6     35                ?          946.67         1020.00         3413.33          156.67
     6     36                ?         1090.00         1243.33          200.00          140.00
     6     37                ?         1180.00         1073.33          210.00          133.33
     6     38                ?         1206.67         1206.67          223.33          156.67
     6     39                ?         1180.00         8293.33          220.00          146.67
     6     40                ?         1103.33         1420.00          226.67          120.00
     6     41                ?         1116.67         1160.00          233.33          133.33
     6     42                ?         1340.00         1150.00          236.67          133.33
     6     43                ?         1153.33        14580.00          243.33          143.33
     6     44                ?         1200.00         5883.33          250.00          136.67
     6     45                ?         1320.00         4680.00          253.33          136.67
     6     46                ?         1343.33         1330.00          260.00          143.33
     6     47                ?         1403.33         1496.67          263.33          156.67
     6     48                ?         1353.33         1500.00          270.00          116.67
     6     49                ?         1733.33         1573.33          433.33          136.67
     6     50                ?         1340.00         1586.67          280.00          133.33
     6     51                ?         1423.33         1850.00          283.33          143.33
     6     52                ?         1583.33         1660.00          296.67          123.33
     6     53                ?         1416.67         1773.33          306.67          173.33
     6     54                ?         4316.67         1663.33          433.33          140.00
     6     55                ?         1656.67         1620.00          306.67          160.00
     6     56                ?         1726.67         1620.00          316.67         1013.33
     6     57                ?         1870.00         2076.67          320.00          136.67
     6     58                ?         1606.67         1920.00          336.67          176.67
     6     59                ?         1873.33         1903.33          340.00          190.00
     6     60                ?         1953.33        29846.67          343.33          176.67
     6     61                ?         1976.67         2646.67          343.33          156.67
     6     62                ?         1713.33         5216.67          570.00          156.67
     6     63                ?         1820.00         4760.00          353.33          323.33
     7     64                ?         1723.33         1873.33          353.33          113.33
     7     65                ?         1846.67         2233.33          373.33          150.00
     7     66                ?         2113.33         1856.67          593.33          113.33
     7     67                ?         1970.00         5233.33          383.33          170.00
     7     68                ?         2163.33         2190.00          440.00          150.00
     7     69                ?         2143.33         2393.33          393.33          170.00
     7     70                ?         2283.33         2360.00          390.00          143.33
     7     71                ?         1970.00         2216.67          393.33          156.67
     7     72                ?         5240.00         2436.67          410.00          150.00
     7     73                ?         2276.67         2300.00          416.67          170.00
     7     74                ?         2526.67         2490.00          423.33          170.00
     7     75                ?         2403.33         2546.67          430.00          190.00
     7     76                ?         2996.67         2866.67          423.33          140.00
     7     77                ?         2223.33         2180.00          426.67          153.33
     7     78                ?         2163.33         2453.33          443.33          186.67
     7     79                ?         2610.00         2723.33          446.67          206.67
     7     80                ?         2573.33         2676.67          453.33          153.33
     7     81                ?         2673.33         2723.33          573.33          170.00
     7     82                ?         2663.33         2713.33          463.33          170.00
     7     83                ?         2650.00         2840.00          470.00          186.67
     7     84                ?         2670.00         2760.00          473.33          170.00
     7     85                ?         2676.67         2846.67          473.33          143.33
     7     86                ?         2356.67         2553.33          536.67          156.67
     7     87                ?         2280.00         3366.67          563.33          150.00
     7     88                ?         2270.00         2473.33          623.33          133.33
     7     89                ?         2343.33         1923.33          453.33          100.00
     7     90                ?         1720.00         1920.00          460.00          103.33
     7     91                ?         1790.00         1823.33          470.00          190.00
     7     92                ?         2883.33         3096.67          603.33          186.67
